ID,flock_number,birth_year,palpation_before,body_development,CUT_before,DIB_placement,DIB_extraction,reproduction_type,reproduction_execution,palpation_after,CUT_after,reproduction_released,brood_sex,DIB_placement_count,DIB_extraction_count,success_insemination_count,fail_insemination_count,success_natural_count,fail_natural_count,pregnant_after_insemination_count,empty_after_insemination_count,pregnant_after_natural_count,empty_after_natural_count
700,101,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Vacia,NULL,12/02/2017,NULL,1,1,1,0,0,0,1,0,0,0
701,122,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,15/11/2016,NULL,0,0,0,0,0,0,0,0,0,0
702,124,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,30/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
703,140,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Vacia,NULL,25/02/2017,NULL,1,1,1,0,0,0,1,0,0,0
704,151,2010,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,NULL,NULL,1,1,0,1,0,0,1,0,0,0
705,165,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Vacia,NULL,18/02/2017,NULL,0,0,0,0,0,0,0,0,0,0
706,167,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
707,195,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,31/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
708,217,2010,Vacia,NULL,NULL,NULL,NULL,Inseminacion,22/12/2015,Vacia,NULL,14/03/2017,NULL,1,1,1,0,0,0,1,0,0,0
709,238,2010,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,31/08/2016,NULL,0,0,0,0,0,0,0,0,0,0
710,262,2010,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,09/10/2016,NULL,1,1,0,1,0,0,0,1,0,0
711,277,2010,Vacia,NULL,NULL,NULL,NULL,Inseminacion,22/12/2015,Preñada,NULL,15/11/2016,NULL,1,1,1,0,0,0,1,0,0,0
712,285,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Vacia,NULL,19/02/2017,NULL,1,1,1,0,0,0,1,0,0,0
713,322,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,19/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
714,571,2011,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,22/09/2016,NULL,0,0,0,0,0,0,0,0,0,0
715,989,2011,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,08/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
716,1003,2011,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,31/08/2016,NULL,2,2,0,2,0,0,0,2,0,0
